hit_id,true_label,label
307FVKVSYTO8UUASNJDODYNF8OQ478,UNFAIR,FAIR
307FVKVSYTO8UUASNJDODYNF8OQ74B,FAIR,UNFAIR
30EV7DWJTX45O1A7TGW3N9RQ8E56YW,UNFAIR,UNFAIR
32CAVSKPCGYT06P5D9NXPSUW4FE1UV,FAIR,FAIR
32TMVRKDGP7CU8FBXO5URYJAJ8W48V,UNFAIR,FAIR
32W3UF2EZQUE6B5OE0LZTKFT9ZH4C1,FAIR,UNFAIR
33KGGVH24WQLHAJ0IEYK9ZT0YXV1XN,FAIR,UNFAIR
341H3G5YF2NAFGYXNDI5SFQ115MZ0E,FAIR,FAIR
3566S7OX5FSR2VD901UMF0GCW4G71Y,FAIR,UNFAIR
371QPA24C4XE0TAGD4XNKW8UL171T4,UNFAIR,UNFAIR
37AQKJ12TZXF9DMPFNHXQ2RPDKXTT4,UNFAIR,FAIR
3B6F54KMR4LDLTX1O4SXARC8JIT1SF,FAIR,FAIR
3BAKUKE49JL1KEXO9FSSKH7CXGA1RR,UNFAIR,UNFAIR
3BC9H1KCYWL3IGPDKY97L3Q3WGXYWO,FAIR,FAIR
3BFF0DJK8ZLEUD9AQNC7GXV3B1JTSF,UNFAIR,UNFAIR
3BFNCI9LYMZNCYRON5853TV9UOU73Q,FAIR,FAIR
3BJKPTD2QEL2TY9XBYC2QNQ7PZ0TRR,UNFAIR,UNFAIR
3CZH926SIENT39P2ARRUJ8FWUBU4EU,FAIR,UNFAIR
3DWGDA5POHDTDLE5IZX2LEWFIMN1VK,FAIR,UNFAIR
3GMLHYZ0LG6QQC08PYU63F56B0MYUP,FAIR,FAIR
3HUR21WDDWYI7GU3U35TNM4A5I3YXH,FAIR,FAIR
3HXCEECSQO27CBUIVLTEK7KLDI1YZE,FAIR,UNFAIR
3IWA71V4TKPGOWKXOKA14VKH68B6XQ,UNFAIR,UNFAIR
3IZVJEBJ6CT5TRKCP2YM1G0SE896ZN,FAIR,FAIR
3J9L0X0VDHVOHFH5CMHRMMXCN7CW9X,FAIR,UNFAIR
3K2CEDRACDABWIW56QGL4OWXJC1TM3,FAIR,UNFAIR
3L21G7IH495AHF9ANAKMSD0903P1YT,FAIR,FAIR
3O0M2G5VC8BC8DYL2GB8RUEL3EE49K,FAIR,FAIR
3Q9SPIIRWLV2MYRA4SVRIH8WTPUWAC,FAIR,FAIR
3QGHA0EA0L9758W2A6VNDSS2B7FWB7,FAIR,FAIR
3R5OYNIC2EIHHLTIY68DLSQSOHCTPZ,FAIR,FAIR
3R6RZGK0XHLQ3RP8UO4BZ17PP7VYVE,FAIR,UNFAIR
3RHLQY6EDVDOB3B2EWGADQXBUZT4D1,FAIR,UNFAIR
3RQVKZ7ZRMSYRGV5J5U0KJQHOAU72F,FAIR,FAIR
3RWO3EJELJIG81H9WNO3FM7XWYM1PZ,FAIR,UNFAIR
3SZYX62S5I9QQDES1OWYIQTT8KL75G,FAIR,UNFAIR
3U74KRR67OUHE0H5IRVLH3LXO2BTN3,UNFAIR,UNFAIR
3UV0D2KX1OSL9NPY52B01Q0W6C94FC,UNFAIR,UNFAIR
3V0TR1NRVCBQDW8QUMP8NPP59WW4AZ,FAIR,UNFAIR
3V7ICJJAZCPVW6DI00P4I09BREH4BU,FAIR,FAIR
3X2LT8FDHYRO3AYV7UBDMQ2131UW88,UNFAIR,UNFAIR
3X2YVV51PWD6SAEA892Y7GFTPVP1WU,FAIR,UNFAIR
3X52SWXE0ZEQFDO8O6RIOCYKTSFWCE,FAIR,UNFAIR
3XAOZ9UYR1018DIOW03SFRX71U81QQ,FAIR,UNFAIR
3XJOUITW8W02HXUXYJN2LXG2TDYTQQ,FAIR,UNFAIR
3ZCC2DXSD9D77LKDZZRV60BJ7OXYYN,FAIR,FAIR
3ZQA3IO31D0YN158HNBOQM27MTQ1OI,FAIR,FAIR
3ZZAYRN1I80ZWLHHJ6VYWSL2ECGTOI,FAIR,UNFAIR
