HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HITId,Input.HITTypeId,Input.Title,Input.Description,Input.Keywords,Input.Reward,Input.CreationTime,Input.MaxAssignments,Input.RequesterAnnotation,Input.AssignmentDurationInSeconds,Input.AutoApprovalDelayInSeconds,Input.Expiration,Input.NumberOfSimilarHITs,Input.LifetimeInSeconds,Input.AssignmentId,Input.WorkerId,Input.AssignmentStatus,Input.AcceptTime,Input.SubmitTime,Input.AutoApprovalTime,Input.ApprovalTime,Input.RejectionTime,Input.RequesterFeedback,Input.WorkTimeInSeconds,Input.LifetimeApprovalRate,Input.Last30DaysApprovalRate,Input.Last7DaysApprovalRate,Input.attr_id,Input.attr_name,Input.attr_desc,Input.ex_adj,Input.adj_1,Input.adj_2,Input.adj_3,Input.adj_4,Input.adj_5,Input.adj_6,Input.adj_7,Input.adj_8,Input.adj_9,Input.adj_10,Input.pos_qual_ctrl_1,Input.pos_qual_ctrl_2,Input.pos_qual_ctrl_3,Input.pos_qual_ctrl_4,Input.pos_qual_ctrl_5,Input.neg_qual_ctrl,Input.aadj_1,Input.aadj_10,Input.aadj_2,Input.aadj_3,Input.aadj_4,Input.aadj_5,Input.aadj_6,Input.aadj_7,Input.aadj_8,Input.aadj_9,Input.aneg_qual_ctrl,Input.apos_qual_ctrl_1,Input.apos_qual_ctrl_2,Input.apos_qual_ctrl_3,Input.apos_qual_ctrl_4,Input.apos_qual_ctrl_5,Input.appeal,Answer.ruling.label,Approve,Reject
307FVKVSYTO8UUASNJDODYNF8OQ478,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:45 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:45 PDT 2019,,,30JNVC0ORCTFZ81WORBFVY9UOTEHQ9,A3O8K08MXAW5C6,Approved,Thu Apr 25 16:03:18 PDT 2019,Thu Apr 25 16:03:47 PDT 2019,Sun Apr 28 16:03:47 PDT 2019,,,,29,100% (59/59),100% (59/59),100% (59/59),3UEBBGULPFOG154VSP68I951GOSUFP,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3CFJTT4SXTQ0Z5RI6ROJZY0XUST7IN,A1X1IRFYQZ40LD,Approved,Wed Jan 16 13:47:46 PST 2019,Wed Jan 16 13:51:39 PST 2019,Sat Jan 19 13:51:39 PST 2019,2019-01-19 21:51:41 UTC,,,233,100% (31/31),100% (1/1),100% (1/1),beauty.n.01,beauty,the qualities that give pleasure to the senses,"lovely, disfigured, splendid, comely, evil-looking",inconclusive,bright,inclined,succinct,serious,stimulating,monotonous,chilled,authorized,bodily,ravishing,ugly,disfigured,splendid,comely,leftmost,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
307FVKVSYTO8UUASNJDODYNF8OQ478,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:45 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:45 PDT 2019,,,3Z9WI9EOZ2XTO531BMRIZCXLPNKHKF,A1C792P4G11BYD,Approved,Thu Apr 25 13:05:07 PDT 2019,Thu Apr 25 13:05:11 PDT 2019,Sun Apr 28 13:05:11 PDT 2019,,,,4,100% (4/4),100% (4/4),100% (4/4),3UEBBGULPFOG154VSP68I951GOSUFP,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3CFJTT4SXTQ0Z5RI6ROJZY0XUST7IN,A1X1IRFYQZ40LD,Approved,Wed Jan 16 13:47:46 PST 2019,Wed Jan 16 13:51:39 PST 2019,Sat Jan 19 13:51:39 PST 2019,2019-01-19 21:51:41 UTC,,,233,100% (31/31),100% (1/1),100% (1/1),beauty.n.01,beauty,the qualities that give pleasure to the senses,"lovely, disfigured, splendid, comely, evil-looking",inconclusive,bright,inclined,succinct,serious,stimulating,monotonous,chilled,authorized,bodily,ravishing,ugly,disfigured,splendid,comely,leftmost,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","Yes, the task should have been rejected",,
307FVKVSYTO8UUASNJDODYNF8OQ74B,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:46 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:46 PDT 2019,,,3SITXWYCNYIPHSZMADWB3V2PQJQXB0,A23441R746K5OU,Approved,Wed Apr 24 23:25:14 PDT 2019,Wed Apr 24 23:25:36 PDT 2019,Sat Apr 27 23:25:36 PDT 2019,,,,22,100% (23/23),100% (23/23),100% (23/23),3VLL1PIENQORTHBYXFO6MVTUA7YOZU,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:17 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:17 PST 2019,,,3I02618YA06UE2QIWU7EINFTOFUPUO,A1EBVJWBNNPUFU,Approved,Wed Jan 16 10:52:45 PST 2019,Wed Jan 16 11:44:27 PST 2019,Sat Jan 19 11:44:27 PST 2019,2019-01-19 19:44:37 UTC,,,3102,100% (85/85),100% (11/11),100% (11/11),criticality.n.02,criticality,a critical state; especially the point at which a nuclear reaction is self-sustaining,"supercritical, critical, noncritical",rich,horrible,despicable,potent,unpolluted,courteous,honourable,east,noble,profit-making,noncritical,supercritical,critical,,,hard-hitting,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
307FVKVSYTO8UUASNJDODYNF8OQ74B,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:46 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:46 PDT 2019,,,3VFJCI1K4281BDLLH0IXFO7Y5F0RGI,A3O8K08MXAW5C6,Approved,Thu Apr 25 11:02:53 PDT 2019,Thu Apr 25 11:04:34 PDT 2019,Sun Apr 28 11:04:34 PDT 2019,,,,101,100% (59/59),100% (59/59),100% (59/59),3VLL1PIENQORTHBYXFO6MVTUA7YOZU,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:17 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:17 PST 2019,,,3I02618YA06UE2QIWU7EINFTOFUPUO,A1EBVJWBNNPUFU,Approved,Wed Jan 16 10:52:45 PST 2019,Wed Jan 16 11:44:27 PST 2019,Sat Jan 19 11:44:27 PST 2019,2019-01-19 19:44:37 UTC,,,3102,100% (85/85),100% (11/11),100% (11/11),criticality.n.02,criticality,a critical state; especially the point at which a nuclear reaction is self-sustaining,"supercritical, critical, noncritical",rich,horrible,despicable,potent,unpolluted,courteous,honourable,east,noble,profit-making,noncritical,supercritical,critical,,,hard-hitting,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
30EV7DWJTX45O1A7TGW3N9RQ8E56YW,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:45 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:45 PDT 2019,,,3GNA64GUZHD3JFH1NPA66164JKKQ5Y,A3O8K08MXAW5C6,Approved,Thu Apr 25 11:27:37 PDT 2019,Thu Apr 25 11:27:56 PDT 2019,Sun Apr 28 11:27:56 PDT 2019,,,,19,100% (59/59),100% (59/59),100% (59/59),3UEBBGULPFOG154VSP68I951GOSUFP,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3OWEPKL089CSD629371B46WEGQMN7G,A1ZGQC0J00M69W,Approved,Wed Jan 16 13:47:44 PST 2019,Wed Jan 16 14:10:12 PST 2019,Sat Jan 19 14:10:12 PST 2019,2019-01-19 22:10:39 UTC,,,1348,100% (171/171),100% (169/169),100% (169/169),beauty.n.01,beauty,the qualities that give pleasure to the senses,"lovely, disfigured, splendid, comely, evil-looking",inconclusive,bright,inclined,succinct,serious,stimulating,monotonous,chilled,authorized,bodily,ravishing,ugly,disfigured,splendid,comely,leftmost,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
30EV7DWJTX45O1A7TGW3N9RQ8E56YW,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:45 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:45 PDT 2019,,,3M0BCWMB8Y5ASSUW080P1COIHHOWBA,A3O51JVRKYX9XV,Approved,Thu Apr 25 13:53:31 PDT 2019,Thu Apr 25 13:54:44 PDT 2019,Sun Apr 28 13:54:44 PDT 2019,,,,73,100% (11/11),100% (11/11),100% (11/11),3UEBBGULPFOG154VSP68I951GOSUFP,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3OWEPKL089CSD629371B46WEGQMN7G,A1ZGQC0J00M69W,Approved,Wed Jan 16 13:47:44 PST 2019,Wed Jan 16 14:10:12 PST 2019,Sat Jan 19 14:10:12 PST 2019,2019-01-19 22:10:39 UTC,,,1348,100% (171/171),100% (169/169),100% (169/169),beauty.n.01,beauty,the qualities that give pleasure to the senses,"lovely, disfigured, splendid, comely, evil-looking",inconclusive,bright,inclined,succinct,serious,stimulating,monotonous,chilled,authorized,bodily,ravishing,ugly,disfigured,splendid,comely,leftmost,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
32CAVSKPCGYT06P5D9NXPSUW4FE1UV,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:46 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:46 PDT 2019,,,3E4GGUZ1TB0P9F0JS1OBC8RJ041K2Z,A3O8K08MXAW5C6,Approved,Thu Apr 25 11:14:52 PDT 2019,Thu Apr 25 11:17:02 PDT 2019,Sun Apr 28 11:17:02 PDT 2019,,,,130,100% (59/59),100% (59/59),100% (59/59),3P7RGTLO6ED72IIBNVGEYLLCHHIAKW,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:44 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:44 PST 2019,,,37TD41K0AH9V50PA2KQ8JMYY42ECS7,A3RS7UCO7CQ74R,Approved,Thu Jan 17 01:17:19 PST 2019,Thu Jan 17 01:22:32 PST 2019,Sun Jan 20 01:22:32 PST 2019,2019-01-20 09:22:38 UTC,,,313,100% (189/189),100% (164/164),100% (164/164),obedience.n.02,obedience,the trait of being willing to obey,"manageable, bad, disobedient, dutiful, noncompliant",multifaceted,atypical,hunger,inside,alien,obese,conspicuous,analytical,authorized,monochrome,dutiful,self-willed,wilful,submissive,noncompliant,far-flung,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,"I tried to do the best I could, but the set up was more than a little confusing.","Yes, the task should have been rejected",,
32TMVRKDGP7CU8FBXO5URYJAJ8W48V,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:45 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:45 PDT 2019,,,39ASUFLU60GNOVB6K4Y1438ATG6XE3,A3O8K08MXAW5C6,Approved,Thu Apr 25 11:28:12 PDT 2019,Thu Apr 25 11:29:44 PDT 2019,Sun Apr 28 11:29:44 PDT 2019,,,,92,100% (59/59),100% (59/59),100% (59/59),3H6W48L9F4P5KMIU1SHECR423AQPWM,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3IO1LGZLK9XO6Z10EV70GV6NWL586I,A3LN9BVLOWLYER,Approved,Wed Jan 16 14:05:23 PST 2019,Wed Jan 16 14:06:07 PST 2019,Sat Jan 19 14:06:07 PST 2019,2019-01-19 22:06:38 UTC,,,44,100% (37/37),100% (32/32),100% (32/32),honesty.n.01,honesty,the quality of being honest,"honorable, dishonest, straightforward, underhand, dishonorable",unorthodox,exact,aspirational,truthful,watchful,inconclusive,red,inhumane,invisible,crushed,underhanded,straight,straightforward,dishonest,underhand,in,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","Yes, the task should have been rejected",,
32TMVRKDGP7CU8FBXO5URYJAJ8W48V,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:45 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:45 PDT 2019,,,3TYCR1GOTFSQZWLD289QEJE5AD4ZLO,A21CNDWV70DK3G,Approved,Thu Apr 25 09:35:21 PDT 2019,Thu Apr 25 09:40:59 PDT 2019,Sun Apr 28 09:40:59 PDT 2019,,,,338,100% (12/12),100% (12/12),100% (12/12),3H6W48L9F4P5KMIU1SHECR423AQPWM,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3IO1LGZLK9XO6Z10EV70GV6NWL586I,A3LN9BVLOWLYER,Approved,Wed Jan 16 14:05:23 PST 2019,Wed Jan 16 14:06:07 PST 2019,Sat Jan 19 14:06:07 PST 2019,2019-01-19 22:06:38 UTC,,,44,100% (37/37),100% (32/32),100% (32/32),honesty.n.01,honesty,the quality of being honest,"honorable, dishonest, straightforward, underhand, dishonorable",unorthodox,exact,aspirational,truthful,watchful,inconclusive,red,inhumane,invisible,crushed,underhanded,straight,straightforward,dishonest,underhand,in,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","Yes, the task should have been rejected",,
32W3UF2EZQUE6B5OE0LZTKFT9ZH4C1,3ML4SXAKAMVGJ3SDANRCJODH3ETB95,Review HIT Appeals (4/24 test),Review rejected HITs with appeals and decide whether the HIT should have been rejected,"nets213, turkish, judge",$0.01 ,Wed Apr 24 13:33:46 PDT 2019,3,BatchId:235451;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 13:33:46 PDT 2019,,,30H4UDGLT5RGRA1SFBC3NYRG0JPPMX,A1C792P4G11BYD,Approved,Thu Apr 25 13:04:20 PDT 2019,Thu Apr 25 13:04:43 PDT 2019,Sun Apr 28 13:04:43 PDT 2019,,,,23,100% (4/4),100% (4/4),100% (4/4),3566S7OX5DJNDFYR8IYCJFNN73C17T,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:44 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:44 PST 2019,,,3C6FJU71TQTONGIJNH3XVE85SMOUYI,ARYYSG1HT2UDX,Approved,Wed Jan 16 18:59:40 PST 2019,Wed Jan 16 19:00:41 PST 2019,Sat Jan 19 19:00:41 PST 2019,2019-01-20 03:01:37 UTC,,,61,100% (330/330),100% (330/330),100% (330/330),ease.n.01,ease,freedom from difficulty or hardship or effort,"easygoing, simple, undemanding, easy, effortless",despicable,analytical,aspirational,lawful,inconceivable,damaged,favourable,foolhardy,stupid,responsible,easy,simple,smooth,uncomplicated,easygoing,unbowed,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
