HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HITId,Input.HITTypeId,Input.Title,Input.Description,Input.Keywords,Input.Reward,Input.CreationTime,Input.MaxAssignments,Input.RequesterAnnotation,Input.AssignmentDurationInSeconds,Input.AutoApprovalDelayInSeconds,Input.Expiration,Input.NumberOfSimilarHITs,Input.LifetimeInSeconds,Input.AssignmentId,Input.WorkerId,Input.AssignmentStatus,Input.AcceptTime,Input.SubmitTime,Input.AutoApprovalTime,Input.ApprovalTime,Input.RejectionTime,Input.RequesterFeedback,Input.WorkTimeInSeconds,Input.LifetimeApprovalRate,Input.Last30DaysApprovalRate,Input.Last7DaysApprovalRate,Input.attr_id,Input.attr_name,Input.attr_desc,Input.ex_adj,Input.adj_1,Input.adj_2,Input.adj_3,Input.adj_4,Input.adj_5,Input.adj_6,Input.adj_7,Input.adj_8,Input.adj_9,Input.adj_10,Input.pos_qual_ctrl_1,Input.pos_qual_ctrl_2,Input.pos_qual_ctrl_3,Input.pos_qual_ctrl_4,Input.pos_qual_ctrl_5,Input.neg_qual_ctrl,Input.aadj_1,Input.aadj_10,Input.aadj_2,Input.aadj_3,Input.aadj_4,Input.aadj_5,Input.aadj_6,Input.aadj_7,Input.aadj_8,Input.aadj_9,Input.aneg_qual_ctrl,Input.apos_qual_ctrl_1,Input.apos_qual_ctrl_2,Input.apos_qual_ctrl_3,Input.apos_qual_ctrl_4,Input.apos_qual_ctrl_5,Input.appeal,Answer.ruling.label,Approve,Reject
3QD8LUVX4Z7K5SKJJ10WCP6HAD0X51,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,3JWH6J9I9VMK5YLI87925TBRO5GBNU,A23441R746K5OU,Approved,Wed Apr 24 22:07:30 PDT 2019,Wed Apr 24 22:07:57 PDT 2019,Sat Apr 27 22:07:57 PDT 2019,,,,27,100% (23/23),100% (23/23),100% (23/23),3VMV5CHJZ8F7FSL134MGVYJBYPLGTJ,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:18 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:18 PST 2019,,,39GHHAVOMFRZBTT5MBBC8NVNG3J4JZ,A1RUURPQJ14A8X,Approved,Wed Jan 16 11:59:08 PST 2019,Wed Jan 16 12:03:29 PST 2019,Sat Jan 19 12:03:29 PST 2019,2019-01-19 20:03:37 UTC,,,261,100% (120/120),100% (110/110),100% (110/110),regularity.n.02,regularity,the quality of being characterized by a fixed principle or rate,"unsmooth, standard, lawful, uniform, illegal",inhumane,bereft,unceasing,careless,crushed,sensitized,stupid,same,bright,inside,symmetrical,first-string,illegal,unsmooth,uniform,scummy,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
3QD8LUVX4Z7K5SKJJ10WCP6HAD0X51,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,3LPW2N6LKWBVB8OI4YUBG23TM5SU59,A9UIN25Y2HNGP,Approved,Thu Apr 25 15:02:08 PDT 2019,Thu Apr 25 15:02:25 PDT 2019,Sun Apr 28 15:02:25 PDT 2019,,,,17,100% (42/42),100% (42/42),100% (42/42),3VMV5CHJZ8F7FSL134MGVYJBYPLGTJ,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:18 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:18 PST 2019,,,39GHHAVOMFRZBTT5MBBC8NVNG3J4JZ,A1RUURPQJ14A8X,Approved,Wed Jan 16 11:59:08 PST 2019,Wed Jan 16 12:03:29 PST 2019,Sat Jan 19 12:03:29 PST 2019,2019-01-19 20:03:37 UTC,,,261,100% (120/120),100% (110/110),100% (110/110),regularity.n.02,regularity,the quality of being characterized by a fixed principle or rate,"unsmooth, standard, lawful, uniform, illegal",inhumane,bereft,unceasing,careless,crushed,sensitized,stupid,same,bright,inside,symmetrical,first-string,illegal,unsmooth,uniform,scummy,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
3J94SKDEKKY67MF2S1ZKII3PUVP5D8,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,337RC3OW08B9QCG31BKNTD19M2XVLJ,A2VH5M7RLI6708,Approved,Thu Apr 25 07:12:48 PDT 2019,Thu Apr 25 07:13:09 PDT 2019,Sun Apr 28 07:13:09 PDT 2019,,,,21,100% (12/12),100% (12/12),100% (12/12),3VMV5CHJZ8F7FSL134MGVYJBYPLGTJ,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:18 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:18 PST 2019,,,3D8YOU6S9EKM4W8DHY85CNOCTBH6UE,A31A4YKVSOYRVS,Approved,Wed Jan 16 13:16:34 PST 2019,Wed Jan 16 13:17:15 PST 2019,Sat Jan 19 13:17:15 PST 2019,2019-01-19 21:17:41 UTC,,,41,100% (42/42),100% (27/27),100% (27/27),regularity.n.02,regularity,the quality of being characterized by a fixed principle or rate,"unsmooth, standard, lawful, uniform, illegal",inhumane,bereft,unceasing,careless,crushed,sensitized,stupid,same,bright,inside,symmetrical,first-string,illegal,unsmooth,uniform,scummy,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
3J94SKDEKKY67MF2S1ZKII3PUVP5D8,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,3SEPORI8WQ893DU95HK055YUG18ZA9,A9UIN25Y2HNGP,Approved,Thu Apr 25 15:27:44 PDT 2019,Thu Apr 25 15:27:56 PDT 2019,Sun Apr 28 15:27:56 PDT 2019,,,,12,100% (42/42),100% (42/42),100% (42/42),3VMV5CHJZ8F7FSL134MGVYJBYPLGTJ,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:18 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:18 PST 2019,,,3D8YOU6S9EKM4W8DHY85CNOCTBH6UE,A31A4YKVSOYRVS,Approved,Wed Jan 16 13:16:34 PST 2019,Wed Jan 16 13:17:15 PST 2019,Sat Jan 19 13:17:15 PST 2019,2019-01-19 21:17:41 UTC,,,41,100% (42/42),100% (27/27),100% (27/27),regularity.n.02,regularity,the quality of being characterized by a fixed principle or rate,"unsmooth, standard, lawful, uniform, illegal",inhumane,bereft,unceasing,careless,crushed,sensitized,stupid,same,bright,inside,symmetrical,first-string,illegal,unsmooth,uniform,scummy,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
31GN6YMHLR16MUD4LSHI3H22FV2SW5,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,3BV8HQ2ZZZA7F3AY3CNP875ZBXI6AW,A11XCV0YFMY41O,Approved,Fri Apr 26 19:57:49 PDT 2019,Fri Apr 26 19:58:03 PDT 2019,Mon Apr 29 19:58:03 PDT 2019,,,,14,100% (9/9),100% (9/9),100% (9/9),3H6W48L9F4P5KMIU1SHECR423AQPWM,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3I3WADAZ9Q4V8NO2GTMRLBINFTH5OH,AOBTFLJU2BEPR,Approved,Wed Jan 16 11:34:26 PST 2019,Wed Jan 16 11:35:16 PST 2019,Sat Jan 19 11:35:16 PST 2019,2019-01-19 19:35:37 UTC,,,50,99% (95/96),100% (85/85),100% (85/85),honesty.n.01,honesty,the quality of being honest,"honorable, dishonest, straightforward, underhand, dishonorable",unorthodox,exact,aspirational,truthful,watchful,inconclusive,red,inhumane,invisible,crushed,underhanded,straight,straightforward,dishonest,underhand,in,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Naa,No,Yes,Yes,No,No,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
31GN6YMHLR16MUD4LSHI3H22FV2SW5,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,3JW0YLFXRWP2GVS7VZWLOQ13RI7WWR,A9UIN25Y2HNGP,Approved,Thu Apr 25 15:02:29 PDT 2019,Thu Apr 25 15:19:05 PDT 2019,Sun Apr 28 15:19:05 PDT 2019,,,,996,100% (42/42),100% (42/42),100% (42/42),3H6W48L9F4P5KMIU1SHECR423AQPWM,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3I3WADAZ9Q4V8NO2GTMRLBINFTH5OH,AOBTFLJU2BEPR,Approved,Wed Jan 16 11:34:26 PST 2019,Wed Jan 16 11:35:16 PST 2019,Sat Jan 19 11:35:16 PST 2019,2019-01-19 19:35:37 UTC,,,50,99% (95/96),100% (85/85),100% (85/85),honesty.n.01,honesty,the quality of being honest,"honorable, dishonest, straightforward, underhand, dishonorable",unorthodox,exact,aspirational,truthful,watchful,inconclusive,red,inhumane,invisible,crushed,underhanded,straight,straightforward,dishonest,underhand,in,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Naa,No,Yes,Yes,No,No,"I tried to do the best I could, but the set up was more than a little confusing.","Yes, the task should have been rejected",,
34R0BODSP38BZST2OWA4O0LAU7Q5E1,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,32SCWG5HIKDE27G0SV5MY2UUAJC6P6,A9UIN25Y2HNGP,Approved,Thu Apr 25 15:27:31 PDT 2019,Thu Apr 25 15:27:38 PDT 2019,Sun Apr 28 15:27:38 PDT 2019,,,,7,100% (42/42),100% (42/42),100% (42/42),3RBI0I35XE322287IV2VKLMH9MYY3I,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:44 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:44 PST 2019,,,3YDGXNSEOZUARCXMV7ELJXM90US48M,ARYYSG1HT2UDX,Approved,Wed Jan 16 18:25:40 PST 2019,Wed Jan 16 18:26:24 PST 2019,Sat Jan 19 18:26:24 PST 2019,2019-01-20 02:26:37 UTC,,,44,100% (330/330),100% (330/330),100% (330/330),position.n.01,position,the particular portion of space occupied by something,"semi-upright, weeping, decumbent, statant, governing",courteous,favourable,fashionable,deliberate,bright,clear,succinct,plentiful,unceasing,preliminary,paramount,lower-class,right-handed,semi-upright,governing,unmindful,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
34R0BODSP38BZST2OWA4O0LAU7Q5E1,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,3WETL7AQWWHBCEBZPEYATTDT9SF53J,A11XCV0YFMY41O,Approved,Fri Apr 26 20:00:56 PDT 2019,Fri Apr 26 20:02:06 PDT 2019,Mon Apr 29 20:02:06 PDT 2019,,,,70,100% (9/9),100% (9/9),100% (9/9),3RBI0I35XE322287IV2VKLMH9MYY3I,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:44 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:44 PST 2019,,,3YDGXNSEOZUARCXMV7ELJXM90US48M,ARYYSG1HT2UDX,Approved,Wed Jan 16 18:25:40 PST 2019,Wed Jan 16 18:26:24 PST 2019,Sat Jan 19 18:26:24 PST 2019,2019-01-20 02:26:37 UTC,,,44,100% (330/330),100% (330/330),100% (330/330),position.n.01,position,the particular portion of space occupied by something,"semi-upright, weeping, decumbent, statant, governing",courteous,favourable,fashionable,deliberate,bright,clear,succinct,plentiful,unceasing,preliminary,paramount,lower-class,right-handed,semi-upright,governing,unmindful,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,"I tried to do the best I could, but the set up was more than a little confusing.","No, the task should not have been rejected",,
3EAWOID6MV6T6WTNMGT279D5DUHV0B,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,30BUDKLTXG4EMCRWEYF6CKHQ0HS5EX,A2FXYB7WSH6AYI,Approved,Wed Apr 24 18:14:55 PDT 2019,Wed Apr 24 18:15:32 PDT 2019,Sat Apr 27 18:15:32 PDT 2019,,,,37,100% (30/30),100% (30/30),100% (30/30),33W1NHWFYHL769G6TWA5G5ZH9FFZTR,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3180JW2OT4CH7CX50GUMDF11GZW5JN,AJQGWGESKQT4Y,Approved,Wed Jan 16 10:54:22 PST 2019,Wed Jan 16 10:55:10 PST 2019,Sat Jan 19 10:55:10 PST 2019,2019-01-19 18:55:37 UTC,,,48,100% (9/9),100% (9/9),100% (9/9),solidity.n.02,solidity,state of having the interior filled with matter,"tube-shaped, fistular, sunken, solid, vasiform",spoiled,stupid,young,headstrong,alien,strange,reliable,truthful,succinct,unceasing,fistular,vasiform,hollow,cavernous,cannular,echt,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"I tried to do the best I could, but the set up was more than a little confusing.","Yes, the task should have been rejected",,
3EAWOID6MV6T6WTNMGT279D5DUHV0B,3ZZSZV2CUDWUFZWNZFJH1U94BF9GS1,Review HIT Appeals,Review rejected HITs with appeals and decide whether the HIT should have been rejected,,$0.01 ,Wed Apr 24 16:53:22 PDT 2019,3,BatchId:235466;OriginalHitTemplateId:921587277;,3600,259200,Wed May 01 16:53:22 PDT 2019,,,3NS0A6KXC7HAD47CRHCA1R9XEWLZGL,A9UIN25Y2HNGP,Approved,Thu Apr 25 15:28:54 PDT 2019,Thu Apr 25 15:29:06 PDT 2019,Sun Apr 28 15:29:06 PDT 2019,,,,12,100% (42/42),100% (42/42),100% (42/42),33W1NHWFYHL769G6TWA5G5ZH9FFZTR,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Adjectives and Attribute Matching,"Determine if adjectives such as ""hot"" and ""pretty"" belong to attributes such as ""temperature"" and ""beauty.""","Research, Linguistics, Adjectives",$0.10 ,Wed Jan 16 10:51:30 PST 2019,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed Jan 23 10:51:30 PST 2019,,,3180JW2OT4CH7CX50GUMDF11GZW5JN,AJQGWGESKQT4Y,Approved,Wed Jan 16 10:54:22 PST 2019,Wed Jan 16 10:55:10 PST 2019,Sat Jan 19 10:55:10 PST 2019,2019-01-19 18:55:37 UTC,,,48,100% (9/9),100% (9/9),100% (9/9),solidity.n.02,solidity,state of having the interior filled with matter,"tube-shaped, fistular, sunken, solid, vasiform",spoiled,stupid,young,headstrong,alien,strange,reliable,truthful,succinct,unceasing,fistular,vasiform,hollow,cavernous,cannular,echt,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"I tried to do the best I could, but the set up was more than a little confusing.","Yes, the task should have been rejected",,
